id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Asf1a	4	0.11391	0.23454	0.999729	224	1	0.25893	0.10848	0.21423	0.965384	219	2	0.25893
Mcrs1	4	0.11425	0.23493	0.999729	225	2	-0.5995	0.19998	0.3182	0.973961	334	2	-0.5995
Phc2	4	0.11482	0.23548	0.999729	226	2	-0.35875	0.51841	0.57859	0.999995	612	1	-0.35875
Zbtb41	4	0.11842	0.23947	0.999729	227	1	0.66719	0.069305	0.15476	0.93365	164	3	0.66719
Smarca5	4	0.11885	0.23992	0.999729	228	2	-0.71645	0.011321	0.035457	0.787735	48	1	-0.71645
Larp1b	4	0.11951	0.24075	0.999729	229	2	-0.83754	0.16944	0.28405	0.973961	295	1	-0.83754
Naca	4	0.12111	0.24268	0.999729	230	2	-0.80242	0.92873	0.92817	0.999995	953	0	-0.80242
Zfp117	4	0.12318	0.24493	0.999729	231	2	-0.48508	0.16167	0.27484	0.973961	284	2	-0.48508
Senp3	4	0.12385	0.24576	0.999729	232	2	-0.63084	0.78982	0.79084	0.999995	802	0	-0.63084
Rnmt	4	0.12452	0.24634	0.999729	233	2	-0.89868	0.89475	0.89521	0.999995	917	0	-0.89868
Suz12	4	0.1247	0.24652	0.999729	234	2	-0.68913	0.49336	0.56345	0.999995	598	1	-0.68913
Ncapd3	4	0.1252	0.24706	0.999729	235	2	-1.0492	0.80793	0.80905	0.999995	818	0	-1.0492
MouseNegCon_0020	1	0.12617	0.12716	0.929929	236	1	-2.0749	0.87383	0.87435	0.999995	899	0	-2.0749
Zfp7	4	0.12723	0.24926	0.999729	237	2	-1.048	0.7377	0.73882	0.999995	756	1	-1.048
Smarcd2	4	0.12892	0.25121	0.999729	238	2	-0.61959	0.78705	0.78802	0.999995	800	0	-0.61959
Dek	4	0.12916	0.2514	0.999729	239	1	0.37308	0.13719	0.2469	0.973961	256	2	0.37308
